Business_Alias,Business_ID,Business_Name,Category_Alias,Category_Title,Latitude,Longitude,Display_Phone,Phone,Distance,Image_URL,Is_Closed,Address_Line1,Address_Line2,Address_Line3,City,State,Country,ZipCode,Rating,Review_Count,Transactions,Business_URL
el-jarrito-cafe-san-antonio,uLacriaJoGhN8f-F1t0TdA,El Jarrito Cafe,mexican,Mexican,29.465059,-98.50769,(210) 736-5357,12107365357,7691.64104,https://s3-media4.fl.yelpcdn.com/bphoto/rAICY33pLiFXHvcprB8iYQ/o.jpg,FALSE,2014 Blanco Rd,,,San Antonio,TX,US,78212,3.5,3,[],https://www.yelp.com/biz/el-jarrito-cafe-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
deco-pizzeria-san-antonio,BvE4wFP8pY5L9nUcAOBk-A,Deco Pizzeria,pizza,Pizza,29.46148,-98.5233,(210) 732-3326,12107323326,9020.334688,https://s3-media2.fl.yelpcdn.com/bphoto/CJ_eKe69ogq5qsTGjN61fA/o.jpg,FALSE,1815 Fredericksburg Rd,,,San Antonio,TX,US,78201,3.5,147,"[u'pickup', u'delivery']",https://www.yelp.com/biz/deco-pizzeria-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
pizza-patron-san-antonio-3,Bzjx8tJ_O0y6Afjj3aH-mw,Pizza Patron,italian,Italian,29.487088,-98.526713,(210) 341-5100,12103415100,7649.684783,https://s3-media2.fl.yelpcdn.com/bphoto/G9RwxDBpTJyKEsyX0kkHKw/o.jpg,FALSE,2913 W Ave,,,San Antonio,TX,US,78201,5,1,[],https://www.yelp.com/biz/pizza-patron-san-antonio-3?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
la-reina-de-jalisco-san-antonio,rbmr87U6nUZMtFZvvzXVGg,La Reina De Jalisco,mexican,Mexican,29.56902757,-98.38392891,(210) 505-8152,12105058152,9121.270199,https://s3-media1.fl.yelpcdn.com/bphoto/1Eyc1SpnyQQxjyqro-19cA/o.jpg,FALSE,14040 Nacogdoches Rd,,,San Antonio,TX,US,78247,3,1,[],https://www.yelp.com/biz/la-reina-de-jalisco-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
taco-cabana-san-antonio-6,VqJutL53N5ky0bbkoVuVVg,Taco Cabana,mexican,Mexican,29.48362732,-98.4006958,(210) 666-5236,12106665236,6502.876072,https://s3-media1.fl.yelpcdn.com/bphoto/vcWd5B2txDEdkp3Hz1X2rQ/o.jpg,FALSE,4622 Rittiman Rd,,,San Antonio,TX,US,78218,2.5,23,[],https://www.yelp.com/biz/taco-cabana-san-antonio-6?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
sergios-molino-san-antonio,YHJqEy1CwqrPcIFIu2aGJw,Sergio's Molino,mexican,Mexican,29.43531831,-98.51181343,(210) 224-2122,12102242122,10611.34128,https://s3-media1.fl.yelpcdn.com/bphoto/IPlSDaWzznmOuUbyJcqcwg/o.jpg,FALSE,641 Ruiz St,,,San Antonio,TX,US,78207,1,2,[],https://www.yelp.com/biz/sergios-molino-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
fitzgeralds-bar-and-live-music-san-antonio,YJ9XEemh8s0qFe2Bdar81A,Fitzgerald's Bar & Live Music,bars,Bars,29.5288216,-98.4989249,(210) 607-7007,12106077007,4374.640501,https://s3-media2.fl.yelpcdn.com/bphoto/0_Dmagx46Tn0CiXv23qQEA/o.jpg,FALSE,437 McCarty Rd,Ste 101,,San Antonio,TX,US,78216,3.5,12,[],https://www.yelp.com/biz/fitzgeralds-bar-and-live-music-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
china-harbor-restaurant-san-antonio,Ft7xDINUXvnqTF4pi1yOAw,China Harbor Restaurant,chinese,Chinese,29.601299,-98.471626,(210) 494-6688,12104946688,9466.944855,https://s3-media2.fl.yelpcdn.com/bphoto/RX1PdGv44JDeUJAna3fwbQ/o.jpg,FALSE,17333 San Pedro Ave,,,San Antonio,TX,US,78232,2.5,125,[],https://www.yelp.com/biz/china-harbor-restaurant-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
jims-restaurants-san-antonio-31,xIbOudvBkjHTAXwHBu5ODg,Jim's Restaurants,diners,Diners,29.4643,-98.46423,(210) 828-5120,12108285120,5964.841082,https://s3-media1.fl.yelpcdn.com/bphoto/Wv1yiY4XGOeCCGKxKsYagA/o.jpg,FALSE,4108 Broadway St,,,San Antonio,TX,US,78209,3,48,[],https://www.yelp.com/biz/jims-restaurants-san-antonio-31?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
sizzling-wok-san-antonio,ieB9EfDTJ_Qmatifr7NXxA,Sizzling Wok,chinese,Chinese,29.60154962,-98.46743219,(210) 495-3888,12104953888,9437.136374,https://s3-media1.fl.yelpcdn.com/bphoto/bcZtGDHgjj7sIXcHx_AKqg/o.jpg,FALSE,17700 San Pedro Ave,Ste 430,,San Antonio,TX,US,78232,4,104,"[u'pickup', u'delivery']",https://www.yelp.com/biz/sizzling-wok-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
saritas-restaurant-san-antonio,2KXB0-S4Udk9J4FVH-FVDQ,Saritas Restaurant,mexican,Mexican,29.5421586,-98.5292408,(210) 344-2400,12103442400,7626.487665,https://s3-media2.fl.yelpcdn.com/bphoto/qN6zU9iGVfmM8XZnV_gPsA/o.jpg,FALSE,2235 Lockhill Selma Rd,,,San Antonio,TX,US,78230,3,51,[],https://www.yelp.com/biz/saritas-restaurant-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
camilas-mexican-restaurant-san-antonio-2,RtbWybL78ju9Hz0ZQgvmQQ,Camila's Mexican Restaurant,mexican,Mexican,29.5879713,-98.4504332,(210) 404-2929,12104042929,7875.250767,https://s3-media4.fl.yelpcdn.com/bphoto/9WnI2jtXgfZlfu0nr1CN7A/o.jpg,FALSE,16075 Henderson Pass,,,San Antonio,TX,US,78232,4,63,[],https://www.yelp.com/biz/camilas-mexican-restaurant-san-antonio-2?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
wing-zone-san-antonio-6,SdxaRNwD8dVlgQPp4ZgU-Q,Wing Zone,salad,Salad,29.49501,-98.43291,(210) 960-9527,12109609527,3338.877122,,FALSE,1533 Austin Hwy,Ste 100,,San Antonio,TX,US,78218,5,1,[],https://www.yelp.com/biz/wing-zone-san-antonio-6?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
dennys-san-antonio-8,H8jm8sXK0ZtJaMsVo3ZPyg,Denny's,diners,Diners,29.48282407,-98.35704707,(210) 661-7993,12106617993,10287.87416,https://s3-media1.fl.yelpcdn.com/bphoto/KJg5mToIXQT-XPYq1Cy3xg/o.jpg,FALSE,6703 Fm78,,,San Antonio,TX,US,78244,4,40,[],https://www.yelp.com/biz/dennys-san-antonio-8?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
little-caesars-pizza-san-antonio-2,WwVD6SAlrgKDZoxeF8Kxeg,Little Caesars Pizza,pizza,Pizza,29.488264,-98.508155,(210) 734-7131,12107347131,6021.609295,https://s3-media3.fl.yelpcdn.com/bphoto/TR2AIXKZZySos1WVR55iFA/o.jpg,FALSE,4431 Blanco Rd,,,San Antonio,TX,US,78212,3,6,[],https://www.yelp.com/biz/little-caesars-pizza-san-antonio-2?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
north-star-cafe-san-antonio-2,TyhAsPq81wZsxnr6AmdPJw,North Star Cafe,cafes,Cafes,29.51838,-98.49789,(210) 348-8783,12103488783,3928.4724,https://s3-media4.fl.yelpcdn.com/bphoto/Zp2YBmuXFY0wzGY7HcZmkQ/o.jpg,FALSE,7400 San Pedro Ave,,,San Antonio,TX,US,78216,4,1,[],https://www.yelp.com/biz/north-star-cafe-san-antonio-2?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
arbys-san-antonio-20,TXLCr4K63OS60zyzznYNBw,Arby's,hotdogs,Fast Food,29.56597,-98.38848,(210) 655-1503,12106551503,8461.171417,https://s3-media2.fl.yelpcdn.com/bphoto/_Y6x67JR0El-dwLnnKSKnA/o.jpg,FALSE,13623 Nacogdoches Rd,,,San Antonio,TX,US,78217,4,5,[],https://www.yelp.com/biz/arbys-san-antonio-20?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
dennys-san-antonio-20,Gg2fa6y78F1WoxLQLA6vrQ,Denny's,diners,Diners,29.51863002,-98.50728437,(210) 349-5952,12103495952,4993.981702,https://s3-media2.fl.yelpcdn.com/bphoto/IiVb94ejk33sr1l3n4F98Q/o.jpg,FALSE,6801 Blanco Rd,,,San Antonio,TX,US,78216,2.5,48,"[u'pickup', u'delivery']",https://www.yelp.com/biz/dennys-san-antonio-20?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
jimmy-johns-san-antonio,oGtLKfR7Pdlr-CBYz8__8g,Jimmy John's,sandwiches,Sandwiches,29.49343681,-98.43566895,(210) 822-2277,12108222277,3264.162829,https://s3-media3.fl.yelpcdn.com/bphoto/c3TQDJLkbI15ooKK5x2ndg/o.jpg,FALSE,1455 Austin Hwy,,,San Antonio,TX,US,78209,3,32,[],https://www.yelp.com/biz/jimmy-johns-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
tacos-el-guero-san-antonio,yRZvSkgMQJq7sJrcBdVX0Q,Tacos El Guero,mexican,Mexican,29.44663,-98.49395,,,8685.130092,https://s3-media3.fl.yelpcdn.com/bphoto/JS0yKGtD1gPuCHDxN5lT6g/o.jpg,FALSE,1812 N Main St,,,San Antonio,TX,US,78212,5,10,[],https://www.yelp.com/biz/tacos-el-guero-san-antonio?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
dairy-queen-san-antonio-22,rBPrJyBluFDSKWa7dZ45sw,Dairy Queen,icecream,Ice Cream & Frozen Yogurt,29.547232,-98.507321,(210) 349-2995,12103492995,6002.246128,https://s3-media4.fl.yelpcdn.com/bphoto/d91IvYO1TGPvIYhm3M5nYw/o.jpg,FALSE,11734 West Ave,,,San Antonio,TX,US,78216,2.5,22,[],https://www.yelp.com/biz/dairy-queen-san-antonio-22?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
big-johns-pizza-san-antonio-3,ZQtwdGBW9YqjW0CIKAzL3Q,Big John's Pizza,pizza,Pizza,29.50851026,-98.55456233,(210) 348-9775,12103489775,9616.702395,https://s3-media3.fl.yelpcdn.com/bphoto/9tQJLCdJX7quDo3tx1yhvg/o.jpg,FALSE,7806 Callaghan Rd,,,San Antonio,TX,US,78229,3.5,74,"[u'pickup', u'delivery']",https://www.yelp.com/biz/big-johns-pizza-san-antonio-3?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
mr-dannys-mexican-grill-san-antonio-2,ZJ_kpPk9OdElwVQjBbM0bA,Mr. Dannys Mexican Grill,mexican,Mexican,29.54134449,-98.52779388,(210) 267-5027,12102675027,7515.654445,,FALSE,2313 N W Military Dr,,,San Antonio,TX,US,78230,1,1,[],https://www.yelp.com/biz/mr-dannys-mexican-grill-san-antonio-2?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
ihop-san-antonio-2,XjhdonSF7xSSYwnrvBhPEA,IHOP,breakfast_brunch,Breakfast & Brunch,29.46184,-98.46592,(210) 824-8113,12108248113,6245.261561,https://s3-media3.fl.yelpcdn.com/bphoto/kcBC0HXzUK0HPJmyd9erqg/o.jpg,FALSE,3820 Broadway,,,San Antonio,TX,US,78209,2,50,[],https://www.yelp.com/biz/ihop-san-antonio-2?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
bill-miller-bar-b-q-san-antonio-4,Nd0Ga9UxGOE7fEk8RyngzQ,Bill Miller Bar-B-Q,bbq,Barbeque,29.510723,-98.388385,(210) 656-6262,12106566262,6554.274893,https://s3-media2.fl.yelpcdn.com/bphoto/veeAyp4SpD6UiNGCuBo2_g/o.jpg,FALSE,5113 Walzem Rd,,,San Antonio,TX,US,78218,3,25,[],https://www.yelp.com/biz/bill-miller-bar-b-q-san-antonio-4?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
little-caesars-san-antonio-3,7ZLrVkMx02J20_IVA1hjvA,Little Caesars,pizza,Pizza,29.51299,-98.4658,(210) 832-8655,12108328655,1088.167748,https://s3-media1.fl.yelpcdn.com/bphoto/tKdExheRYLW4eJcUriXrGg/o.jpg,FALSE,8238 Broadway St,,,San Antonio,TX,US,78209,2,9,[],https://www.yelp.com/biz/little-caesars-san-antonio-3?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
bushs-chicken-san-antonio-9,DAvYiIHSKnrdDojk8_pKEQ,Bushs Chicken,hotdogs,Fast Food,29.51029968,-98.38139343,(210) 637-8358,12106378358,7231.919716,https://s3-media2.fl.yelpcdn.com/bphoto/uraX4R2AGwQoj4K0ywY-rg/o.jpg,FALSE,3522 Walzem,,,San Antonio,TX,US,78218,2.5,14,[],https://www.yelp.com/biz/bushs-chicken-san-antonio-9?adjust_creative=xtj4insboBfq4s67lBIAxA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xtj4insboBfq4s67lBIAxA
